CodigoIBGE;NOME_MUNICIPIO;LONGITUDE;LATITUDE
2600708;ALIANÇA;-35,228501;-7,60473
1700350;ALIANÇA DO TOCANTINS;-48,94124;-11,303743
2900900;ALMADINA;-39,635903;-14,706048
1700400;ALMAS;-47,174172;-11,574523
1500503;ALMEIRIM;-52,576835;-1,527339
3101706;ALMENARA;-40,697651;-16,180616
2400604;ALMINO AFONSO;-37,763125;-6,157421
4100400;ALMIRANTE TAMANDARÉ;-49,30032;-25,313378
4300471;ALMIRANTE TAMANDARÉ DO SUL;-52,913715;-28,113726
5200506;ALOÂNDIA;-49,482321;-17,724909
3101805;ALPERCATA;-41,989129;-18,986831
4300505;ALPESTRE;-53,037366;-27,248769
3101904;ALPINÓPOLIS;-46,389483;-20,861855
5100250;ALTA FLORESTA;-56,09161;-9,871723
1100015;ALTA FLORESTA D'OESTE;-61,999824;-11,93554
3500907;ALTAIR;-49,060111;-20,523305
1500602;ALTAMIRA;-52,214376;-3,20566
2100402;ALTAMIRA DO MARANHÃO;-45,464676;-4,162269
4100459;ALTAMIRA DO PARANÁ;-52,709807;-24,801
2300606;ALTANEIRA;-39,745821;-6,997498
3102001;ALTEROSA;-46,145321;-21,25587
2600807;ALTINHO;-36,0597;-8,489593
3501004;ALTINÓPOLIS;-47,37328;-21,024583
1400050;ALTO ALEGRE;-61,314022;2,993823
3501103;ALTO ALEGRE;-50,163597;-21,581689
4300554;ALTO ALEGRE;-52,990755;-28,774746
2100436;ALTO ALEGRE DO MARANHÃO;-44,448247;-4,207227
2100477;ALTO ALEGRE DO PINDARÉ;-45,84208;-3,66517
1100379;ALTO ALEGRE DOS PARECIS;-61,853077;-12,131777
5100300;ALTO ARAGUAIA;-53,22026;-17,31559
4200754;ALTO BELA VISTA;-51,911037;-27,431138
5100359;ALTO BOA VISTA;-51,379322;-11,676745
3102050;ALTO CAPARAÓ;-41,873084;-20,444361
2400703;ALTO DO RODRIGUES;-36,759493;-5,293808
4300570;ALTO FELIZ;-51,315816;-29,390139
5100409;ALTO GARÇAS;-53,528454;-16,946722
5200555;ALTO HORIZONTE;-49,332749;-14,199227
3153509;ALTO JEQUITIBÁ;-41,967175;-20,422927
2200301;ALTO LONGÁ;-42,210322;-5,250993
5100508;ALTO PARAGUAI;-56,494442;-14,514712
1100403;ALTO PARAÍSO;-63,317629;-9,716667
4128625;ALTO PARAÍSO;-53,732893;-23,508131
5200605;ALTO PARAÍSO DE GOIÁS;-47,519093;-14,136245
4100608;ALTO PARANÁ;-52,321682;-23,127121
2100501;ALTO PARNAÍBA;-45,927344;-9,108366
4100707;ALTO PIQUIRI;-53,441249;-24,019013
3102100;ALTO RIO DOCE;-43,418871;-21,022146
3200359;ALTO RIO NOVO;-41,018684;-19,0575
2300705;ALTO SANTO;-38,272778;-5,522082
5100607;ALTO TAQUARI;-53,281993;-17,834744
4100509;ALTÔNIA;-53,891974;-23,870881
2200400;ALTOS;-42,460948;-5,036546
3501152;ALUMÍNIO;-47,259057;-23,533373
1300029;ALVARÃES;-64,813535;-3,216584
3102209;ALVARENGA;-41,726442;-19,41447
3501202;ÁLVARES FLORENCE;-49,911185;-20,319876
3501301;ÁLVARES MACHADO;-51,468797;-22,077779
3501400;ÁLVARO DE CARVALHO;-49,720609;-22,076375
3501509;ALVINLÂNDIA;-49,763033;-22,44501
3102308;ALVINÓPOLIS;-43,066083;-20,114763
1700707;ALVORADA;-49,126811;-12,478815
4300604;ALVORADA;-51,077729;-29,997493
3102407;ALVORADA DE MINAS;-43,366084;-18,733593
2200459;ALVORADA DO GURGUÉIA;-43,863072;-8,443959
5200803;ALVORADA DO NORTE;-46,515638;-14,482839
4100806;ALVORADA DO SUL;-51,229216;-22,780379
1100346;ALVORADA D'OESTE;-62,277275;-11,34413
1400027;AMAJARI;-61,42059;3,652118
5000609;AMAMBAI;-55,243828;-23,100582
1600105;AMAPÁ;-50,793214;2,053921
2100550;AMAPÁ DO MARANHÃO;-46,00918;-1,680921
4100905;AMAPORÃ;-52,786787;-23,09737
2600906;AMARAJI;-35,450773;-8,378487
4300638;AMARAL FERRADOR;-52,25127;-30,875148
5200829;AMARALINA;-49,295377;-13,925482
2200509;AMARANTE;-42,853693;-6,246611
2100600;AMARANTE DO MARANHÃO;-46,750638;-5,557662
2901007;AMARGOSA;-39,598123;-13,034451
1300060;AMATURÁ;-68,209615;-3,366805
2901106;AMÉLIA RODRIGUES;-38,755557;-12,400188
2901155;AMÉRICA DOURADA;-41,437163;-11,449646
3501608;AMERICANA;-47,330363;-22,740884
5200852;AMERICANO DO BRASIL;-49,983642;-16,2551
3501707;AMÉRICO BRASILIENSE;-48,106605;-21,730037
3501806;AMÉRICO DE CAMPOS;-49,727027;-20,296402
4300646;AMETISTA DO SUL;-53,192177;-27,356425
2300754;AMONTADA;-39,828823;-3,364878
5200902;AMORINÓPOLIS;-51,097167;-16,617912
2500734;AMPARO;-37,064775;-7,567212
3501905;AMPARO;-46,765086;-22,699389
2800100;AMPARO DE SÃO FRANCISCO;-36,927484;-10,133971
3102506;AMPARO DO SERRA;-42,807202;-20,510067
4101002;AMPÉRE;-53,473257;-25,917068
2700201;ANADIA;-36,300814;-9,684084
2901205;ANAGÉ;-41,127113;-14,611326
4101051;ANAHY;-53,13332;-24,647582
1500701;ANAJÁS;-49,945001;-0,984451
2100709;ANAJATUBA;-44,62067;-3,257555
3502002;ANALÂNDIA;-47,660766;-22,128785
1300086;ANAMÃ;-61,405903;-3,57637
1701002;ANANÁS;-48,079765;-6,362818
1500800;ANANINDEUA;-48,372067;-1,368714
5201108;ANÁPOLIS;-48,957218;-16,328826
1500859;ANAPU;-51,201622;-3,476105
2100808;ANAPURUS;-43,105793;-3,667035
5000708;ANASTÁCIO;-55,804571;-20,48236
5000807;ANAURILÂNDIA;-52,718169;-22,18265
3200409;ANCHIETA;-40,647659;-20,805613
4200804;ANCHIETA;-53,33327;-26,535681
2901304;ANDARAÍ;-41,324642;-12,801351
4101101;ANDIRÁ;-50,226408;-23,051752
2901353;ANDORINHA;-39,832336;-10,34424
3102605;ANDRADAS;-46,575583;-22,072807
3502101;ANDRADINA;-51,378848;-20,901464
4300661;ANDRÉ DA ROCHA;-51,573738;-28,631977
3102803;ANDRELÂNDIA;-44,317699;-21,736968
3502200;ANGATUBA;-48,40676;-23,483987
3102852;ANGELÂNDIA;-42,26645;-17,72779
5000856;ANGÉLICA;-53,76973;-22,156063
2601003;ANGELIM;-36,284814;-8,890374
4200903;ANGELINA;-48,983476;-27,582257
2901403;ANGICAL;-44,695823;-12,006683
2200608;ANGICAL DO PIAUÍ;-42,743866;-6,087242
1701051;ANGICO;-47,862078;-6,387753
2400802;ANGICOS;-36,605433;-5,660365
3300100;ANGRA DOS REIS;-44,319627;-23,009116
2901502;ANGUERA;-39,248499;-12,149587
4101150;ÂNGULO;-51,917365;-23,192904
5201207;ANHANGUERA;-48,217404;-18,334366
3502309;ANHEMBI;-48,126927;-22,786321
3502408;ANHUMAS;-51,386074;-22,293237
5201306;ANICUNS;-49,959068;-16,460741
2200707;ANÍSIO DE ABREU;-43,034853;-9,174919
4201000;ANITA GARIBALDI;-51,131194;-27,683777
4201109;ANITÁPOLIS;-49,131599;-27,909887
1300102;ANORI;-61,658955;-3,745386
4300703;ANTA GORDA;-52,015823;-28,970884
2901601;ANTAS;-38,331042;-10,412702
4101200;ANTONINA;-48,7129;-25,430166
2300804;ANTONINA DO NORTE;-39,982387;-6,779688
2200806;ANTÔNIO ALMEIDA;-44,196535;-7,219356
2901700;ANTÔNIO CARDOSO;-39,118662;-12,434839
3102902;ANTÔNIO CARLOS;-43,755641;-21,31858
4201208;ANTÔNIO CARLOS;-48,76496;-27,513371
3103009;ANTÔNIO DIAS;-42,869545;-19,651467
2901809;ANTÔNIO GONÇALVES;-40,275659;-10,575798
5000906;ANTÔNIO JOÃO;-55,948082;-22,194685
2400901;ANTÔNIO MARTINS;-37,885735;-6,216004
4101309;ANTÔNIO OLINTO;-50,197947;-25,986706
4300802;ANTÔNIO PRADO;-51,283577;-28,855438
3103108;ANTÔNIO PRADO DE MINAS;-42,109343;-21,018232
2500775;APARECIDA;-38,083338;-6,783695
3502507;APARECIDA;-45,229429;-22,848154
5201405;APARECIDA DE GOIÂNIA;-49,243326;-16,822147
5201454;APARECIDA DO RIO DOCE;-51,151492;-18,296984
1701101;APARECIDA DO RIO NEGRO;-47,97667;-9,955878
5001003;APARECIDA DO TABOADO;-51,097638;-20,085022
3502606;APARECIDA D'OESTE;-50,885616;-20,450845
3300159;APERIBÉ;-42,104917;-21,619422
3200508;APIACÁ;-41,56338;-21,156448
5100805;APIACÁS;-57,395402;-9,565495
3502705;APIAÍ;-48,84866;-24,513316
2100832;APICUM-AÇU;-45,076652;-1,530592
4201257;APIÚNA;-49,391638;-27,041813
2401008;APODI;-37,797784;-5,66377
2901908;APORÁ;-38,079995;-11,655394
5201504;APORÉ;-51,928073;-18,958877
2901957;APUAREMA;-39,742132;-13,853229
4101408;APUCARANA;-51,459985;-23,551593
1300144;APUÍ;-59,885666;-7,19787
2300903;APUIARÉS;-39,430423;-3,948019
2800209;AQUIDABÃ;-37,022181;-10,292518
5001102;AQUIDAUANA;-55,790616;-20,474654
2301000;AQUIRAZ;-38,389803;-3,906195
4201273;ARABUTÃ;-52,148599;-27,157404
2500809;ARAÇAGI;-35,383299;-6,851697
3103207;ARAÇAÍ;-44,246924;-19,200364
2800308;ARACAJU;-37,048213;-10,907216
3502754;ARAÇARIGUAMA;-47,071548;-23,430041
2902054;ARAÇAS;-38,198288;-12,2152
2301109;ARACATI;-37,772753;-4,567066
2902005;ARACATU;-41,461685;-14,42663
3502804;ARAÇATUBA;-50,439226;-21,205476
2902104;ARACI;-38,960958;-11,335728
3103306;ARACITABA;-43,381556;-21,339269
2301208;ARACOIABA;-38,809441;-4,370394
2601052;ARAÇOIABA;-35,093967;-7,785642
3502903;ARAÇOIABA DA SERRA;-47,587243;-23,50732
3200607;ARACRUZ;-40,276223;-19,823278
5201603;ARAÇU;-49,681682;-16,354335
3103405;ARAÇUAÍ;-42,064207;-16,851781
5201702;ARAGARÇAS;-52,246855;-15,897768
5201801;ARAGOIÂNIA;-49,450903;-16,91564
1701309;ARAGOMINAS;-48,52343;-7,164349
1701903;ARAGUACEMA;-49,561813;-8,801803
1702000;ARAGUAÇU;-49,828612;-12,925584
5101001;ARAGUAIANA;-51,833622;-15,731243
1702109;ARAGUAÍNA;-48,208705;-7,191329
5101209;ARAGUAINHA;-53,03562;-16,857546
1702158;ARAGUANÃ;-48,64375;-6,582249
2100873;ARAGUANÃ;-45,668794;-2,949126
5202155;ARAGUAPAZ;-50,634742;-15,08853
3103504;ARAGUARI;-48,191605;-18,64827
1702208;ARAGUATINS;-48,123507;-5,650586
2100907;ARAIOSES;-41,899139;-2,889256
5001243;ARAL MOREIRA;-55,630761;-22,947881
2902203;ARAMARI;-38,503066;-12,088183
4300851;ARAMBARÉ;-51,501318;-30,909346
2100956;ARAME;-46,013636;-4,886082
3503000;ARAMINA;-47,786013;-20,089944
3503109;ARANDU;-49,050976;-23,133407
3103603;ARANTINA;-44,246954;-21,916104
3503158;ARAPEÍ;-44,448107;-22,674799
2700300;ARAPIRACA;-36,657297;-9,755907
1702307;ARAPOEMA;-49,075637;-7,65257
3103702;ARAPONGA;-42,526273;-20,665662
4101507;ARAPONGAS;-51,43828;-23,413517
3103751;ARAPORÃ;-49,190087;-18,441909
4101606;ARAPOTI;-49,824829;-24,146569
3103801;ARAPUÁ;-46,154598;-19,033855
4101655;ARAPUÃ;-51,791318;-24,308702
5101258;ARAPUTANGA;-58,348367;-15,468144
4201307;ARAQUARI;-48,692707;-26,375952
2500908;ARARA;-35,759542;-6,826192
4201406;ARARANGUÁ;-49,480967;-28,935752
3503208;ARARAQUARA;-48,17444;-21,79036
3503307;ARARAS;-47,38583;-22,357087
2301257;ARARENDÁ;-40,831097;-4,751938
2101004;ARARI;-44,778835;-3,459171
4300877;ARARICÁ;-50,925677;-29,617244
2301307;ARARIPE;-40,137446;-7,206184
2601102;ARARIPINA;-40,502461;-7,578142
3300209;ARARUAMA;-42,341096;-22,877438
2501005;ARARUNA;-35,735981;-6,531447
4101705;ARARUNA;-52,499618;-23,928201
2902252;ARATACA;-39,413282;-15,260873
4300901;ARATIBA;-52,303832;-27,394444
2301406;ARATUBA;-39,047555;-4,416931
2902302;ARATUÍPE;-39,002911;-13,080597
2800407;ARAUÁ;-37,612337;-11,264505
4101804;ARAUCÁRIA;-49,40194;-25,591645
3103900;ARAÚJOS;-45,166702;-19,946785
3104007;ARAXÁ;-46,94001;-19,59133
3104106;ARCEBURGO;-46,944354;-21,360181
3503356;ARCO-ÍRIS;-50,464911;-21,773914
3104205;ARCOS;-45,543632;-20,282563
2601201;ARCOVERDE;-37,056506;-8,423941
3104304;AREADO;-46,146559;-21,358382
3300225;AREAL;-43,10107;-22,236912
3503406;AREALVA;-48,920415;-22,024767
2501104;AREIA;-35,703391;-6,965515
2401107;AREIA BRANCA;-37,131272;-4,952898
2800506;AREIA BRANCA;-37,313363;-10,758192
2501153;AREIA DE BARAÚNAS;-36,943508;-7,123695
2501203;AREIAL;-35,922809;-7,049961
3503505;AREIAS;-44,699432;-22,582194
3503604;AREIÓPOLIS;-48,665595;-22,67394
5101308;ARENÁPOLIS;-56,844489;-14,455522
5202353;ARENÓPOLIS;-51,560029;-16,387546
2401206;ARÊS;-35,160636;-6,193712
3104403;ARGIRITA;-42,836447;-21,607555
3104452;ARICANDUVA;-42,559231;-17,867763
3104502;ARINOS;-46,107752;-15,921772
5101407;ARIPUANÃ;-59,448616;-10,172524
1100023;ARIQUEMES;-63,033269;-9,908463
3503703;ARIRANHA;-48,788337;-21,186127
4101853;ARIRANHA DO IVAÍ;-51,587918;-24,383289
3300233;ARMAÇÃO DOS BÚZIOS;-41,887749;-22,757764
4201505;ARMAZÉM;-49,012911;-28,258705
2301505;ARNEIROZ;-40,161444;-6,319426
2200905;AROAZES;-41,797453;-6,11285
2501302;AROEIRAS;-35,715593;-7,548462
2200954;AROEIRAS DO ITAIM;-41,563204;-7,278745
2201002;ARRAIAL;-42,536567;-6,650827
3300258;ARRAIAL DO CABO;-42,028336;-22,967638
1702406;ARRAIAS;-46,946107;-12,93442
4301008;ARROIO DO MEIO;-51,947449;-29,398891
4301073;ARROIO DO PADRE;-52,433302;-31,440644
4301057;ARROIO DO SAL;-49,932958;-29,592961
4301206;ARROIO DO TIGRE;-53,086396;-29,33586
4301107;ARROIO DOS RATOS;-51,733807;-30,090013
4301305;ARROIO GRANDE;-53,082248;-32,236344
4201604;ARROIO TRINTA;-51,334124;-26,932565
3503802;ARTUR NOGUEIRA;-47,164301;-22,571343
5202502;ARUANÃ;-51,080885;-14,903332
3503901;ARUJÁ;-46,32049;-23,395827
4201653;ARVOREDO;-52,457789;-27,073534
4301404;ARVOREZINHA;-52,179512;-28,873049
4201703;ASCURRA;-49,386363;-26,954776
3503950;ASPÁSIA;-50,726963;-20,15819
4101903;ASSAÍ;-50,841623;-23,372718
2301604;ASSARÉ;-39,871275;-6,872607
3504008;ASSIS;-50,41751;-22,662835
1200054;ASSIS BRASIL;-69,563459;-10,942866
4102000;ASSIS CHATEAUBRIAND;-53,521237;-24,40853
2501351;ASSUNÇÃO;-36,733187;-7,076327
2201051;ASSUNÇÃO DO PIAUÍ;-41,05083;-5,864914
3104601;ASTOLFO DUTRA;-42,859644;-21,311204
4102109;ASTORGA;-51,669679;-23,236712
2700409;ATALAIA;-36,021427;-9,501387
4102208;ATALAIA;-52,055701;-23,151587
1300201;ATALAIA DO NORTE;-70,187989;-4,366157
4201802;ATALANTA;-49,779457;-27,420536
3104700;ATALÉIA;-41,110558;-18,04592
3504107;ATIBAIA;-46,555063;-23,116308
3200706;ATILIO VIVACQUA;-41,191242;-20,915897
1702554;AUGUSTINÓPOLIS;-47,880957;-5,465414
1500909;AUGUSTO CORRÊA;-46,641646;-1,022921
3104809;AUGUSTO DE LIMA;-44,275219;-18,112548
4301503;AUGUSTO PESTANA;-53,98947;-28,513352
2401305;AUGUSTO SEVERO;-37,308873;-5,858114
4301552;ÁUREA;-52,054176;-27,693787
2902401;AURELINO LEAL;-39,321997;-14,316949
3504206;AURIFLAMA;-50,553959;-20,687335
5202601;AURILÂNDIA;-50,464766;-16,676725
2301703;AURORA;-38,976991;-6,940392
4201901;AURORA;-49,643628;-27,299029
1500958;AURORA DO PARÁ;-47,556175;-2,129376
1702703;AURORA DO TOCANTINS;-46,407083;-12,70849
1300300;AUTAZES;-59,133567;-3,578664
3504305;AVAÍ;-49,336815;-22,156772
3504404;AVANHANDAVA;-49,942697;-21,460871
3504503;AVARÉ;-48,923263;-23,103194
1501006;AVEIRO;-55,330734;-3,605595
2201101;AVELINO LOPES;-43,94151;-10,134745
5202809;AVELINÓPOLIS;-49,754226;-16,461939
2101103;AXIXÁ;-44,054586;-2,837797
1702901;AXIXÁ DO TOCANTINS;-47,774156;-5,624309
1703008;BABAÇULÂNDIA;-47,758816;-7,201865
2101202;BACABAL;-44,781556;-4,231525
2101251;BACABEIRA;-44,315423;-2,985825
2101301;BACURI;-45,137349;-1,724046
2101350;BACURITUBA;-44,735742;-2,710872
3504602;BADY BASSITT;-49,448574;-20,918564
3104908;BAEPENDI;-44,890371;-21,957611
4301602;BAGÉ;-54,107083;-31,330502
1501105;BAGRE;-50,221987;-1,889808
2501401;BAÍA DA TRAIÇÃO;-34,949931;-6,679529
2401404;BAÍA FORMOSA;-35,009036;-6,369992
2902500;BAIANÓPOLIS;-44,536098;-12,304125
1501204;BAIÃO;-49,672753;-2,791962
2902609;BAIXA GRANDE;-40,166861;-11,959357
2201150;BAIXA GRANDE DO RIBEIRO;-45,212815;-7,853352
2301802;BAIXIO;-38,720126;-6,727162
3200805;BAIXO GUANDU;-41,012068;-19,514246
3504701;BALBINOS;-49,356473;-21,901524
3105004;BALDIM;-43,957041;-19,286437
5203104;BALIZA;-52,542745;-16,201637
4201950;BALNEÁRIO ARROIO DO SILVA;-49,405703;-28,980402
4202057;BALNEÁRIO BARRA DO SUL;-48,606646;-26,45643
4202008;BALNEÁRIO CAMBORIÚ;-48,634617;-26,991819
4202073;BALNEÁRIO GAIVOTA;-49,590894;-29,164521
4212809;BALNEÁRIO PIÇARRAS;-48,675051;-26,769171
4301636;BALNEÁRIO PINHAL;-50,236701;-30,239751
4102307;BALSA NOVA;-49,631756;-25,578498
3504800;BÁLSAMO;-49,579328;-20,738264
2101400;BALSAS;-46,038993;-7,53117
3105103;BAMBUÍ;-45,979045;-20,011892
2301851;BANABUIÚ;-38,925785;-5,315047
3504909;BANANAL;-44,32333;-22,682616
2501500;BANANEIRAS;-35,6316;-6,749637
3105202;BANDEIRA;-40,558886;-15,884977
3105301;BANDEIRA DO SUL;-46,385263;-21,724869
4202081;BANDEIRANTE;-53,64105;-26,768938
4102406;BANDEIRANTES;-50,371873;-23,092481
5001508;BANDEIRANTES;-54,363194;-19,92092
1703057;BANDEIRANTES DO TOCANTINS;-48,578381;-7,764859
1501253;BANNACH;-50,406047;-7,351072
2902658;BANZAÊ;-38,61187;-10,574092
4301651;BARÃO;-51,497538;-29,380864
3505005;BARÃO DE ANTONINA;-49,566064;-23,627111
3105400;BARÃO DE COCAIS;-43,484882;-19,935847
4301701;BARÃO DE COTEGIPE;-52,37775;-27,617093
2101509;BARÃO DE GRAJAÚ;-43,026453;-6,758955
5101605;BARÃO DE MELGAÇO;-55,967121;-16,195099
3105509;BARÃO DE MONTE ALTO;-42,239147;-21,247882
4301750;BARÃO DO TRIUNFO;-51,737669;-30,390484
2401453;BARAÚNA;-37,61818;-5,076618
2501534;BARAÚNA;-36,253041;-6,642405
3105608;BARBACENA;-43,776193;-21,224915
2301901;BARBALHA;-39,302316;-7,307172
3505104;BARBOSA;-49,953989;-21,259026
4102505;BARBOSA FERRAZ;-52,007117;-24,027715
1501303;BARCARENA;-48,627073;-1,505767
2401503;BARCELONA;-35,926795;-5,948132
1300409;BARCELOS;-62,92567;-0,972801
3505203;BARIRI;-48,741525;-22,071978
2902708;BARRA;-43,143639;-11,088955
3505302;BARRA BONITA;-48,563229;-22,491146
4202099;BARRA BONITA;-53,441303;-26,652294
2902807;BARRA DA ESTIVA;-41,331696;-13,620205
2201176;BARRA D'ALCÂNTARA;-42,105002;-6,518873
2601300;BARRA DE GUABIRABA;-35,662819;-8,420935
2501609;BARRA DE SANTA ROSA;-36,059773;-6,720253
2501575;BARRA DE SANTANA;-35,996314;-7,522834
2700508;BARRA DE SANTO ANTÔNIO;-35,500298;-9,409278
3200904;BARRA DE SÃO FRANCISCO;-40,890399;-18,759089
2501708;BARRA DE SÃO MIGUEL;-36,321536;-7,752671
2700607;BARRA DE SÃO MIGUEL;-35,90745;-9,838998
5101704;BARRA DO BUGRES;-57,186409;-15,066258
3505351;BARRA DO CHAPÉU;-49,027139;-24,471426
2902906;BARRA DO CHOÇA;-40,576373;-14,864273
2101608;BARRA DO CORDA;-45,239011;-5,50834
5101803;BARRA DO GARÇAS;-52,26033;-15,888711
4301859;BARRA DO GUARITA;-53,714413;-27,18807
4102703;BARRA DO JACARÉ;-50,187737;-23,120593
2903003;BARRA DO MENDES;-42,059128;-11,808828
1703073;BARRA DO OURO;-47,687135;-7,691767
3300308;BARRA DO PIRAÍ;-43,828452;-22,469596
4301875;BARRA DO QUARAÍ;-57,55706;-30,211075
